# SLARC V8.10-freeze-poseodom | rise=0.150 run=0.280 | balance=AN foothold=AN freeze=AUS | G_Z=-0.120 G_STEP=0.060
t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,est_roll,est_pitch,est_yaw,est_height,frozen,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_force,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_right_th_c,front_right_th_f,front_right_th_t,front_right_rfx,front_right_rfy,front_right_rfz,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_force,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,front_left_th_c,front_left_th_f,front_left_th_t,front_left_rfx,front_left_rfy,front_left_rfz,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_force,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_right_th_c,mid_right_th_f,mid_right_th_t,mid_right_rfx,mid_right_rfy,mid_right_rfz,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_force,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,mid_left_th_c,mid_left_th_f,mid_left_th_t,mid_left_rfx,mid_left_rfy,mid_left_rfz,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_force,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_right_th_c,rear_right_th_f,rear_right_th_t,rear_right_rfx,rear_right_rfy,rear_right_rfz,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_force,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state,rear_left_th_c,rear_left_th_f,rear_left_th_t,rear_left_rfx,rear_left_rfy,rear_left_rfz
3.359,452,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0001,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.504,0.424,0.096,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.12,0.453,0.839,0.611,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.453,0.675,0.420,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.586,1.081,0.875,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.513,1.007,0.836,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.382,456,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0001,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.510,0.423,0.095,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.12,0.453,0.839,0.612,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.451,0.675,0.420,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.586,1.082,0.875,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.512,1.006,0.836,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.426,460,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.514,0.422,0.094,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.13,0.453,0.839,0.612,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.450,0.674,0.420,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.587,1.082,0.876,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.512,1.006,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.450,464,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.519,0.422,0.093,STANCE,0.0089,-0.1720,1.7650,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.13,0.453,0.840,0.612,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.449,0.674,0.419,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.587,1.082,0.876,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.511,1.005,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.482,468,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.524,0.421,0.093,STANCE,0.0089,-0.1720,1.7650,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.13,0.453,0.840,0.612,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.448,0.674,0.419,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.588,1.083,0.877,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.511,1.005,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.504,472,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0002,0.0001,-0.0003,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.527,0.421,0.093,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.817,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.13,0.453,0.840,0.613,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.446,0.673,0.419,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.589,1.083,0.877,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.511,1.005,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.539,476,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0001,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.497,0.424,0.096,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.95,0.464,0.979,0.818,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.12,0.451,0.838,0.611,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.452,0.676,0.420,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.584,1.081,0.875,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.513,1.005,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.564,480,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0001,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.504,0.424,0.096,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.817,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.12,0.453,0.839,0.611,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.453,0.675,0.420,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.586,1.081,0.875,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.513,1.007,0.836,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.601,484,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0001,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.509,0.423,0.095,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.12,0.453,0.839,0.612,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.451,0.675,0.420,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.587,1.082,0.875,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.513,1.006,0.836,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.625,488,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.514,0.422,0.094,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.13,0.453,0.839,0.612,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.450,0.674,0.419,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.587,1.082,0.876,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.512,1.006,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.655,492,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.519,0.422,0.093,STANCE,0.0089,-0.1720,1.7650,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.13,0.453,0.840,0.612,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.448,0.674,0.419,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.588,1.082,0.876,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.512,1.005,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.678,496,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.524,0.421,0.093,STANCE,0.0089,-0.1720,1.7650,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.13,0.453,0.840,0.612,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.447,0.674,0.419,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.588,1.083,0.877,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.511,1.005,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.712,500,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0002,0.0001,-0.0003,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.527,0.421,0.093,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.13,0.453,0.840,0.613,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.446,0.673,0.419,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.589,1.083,0.877,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.511,1.005,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.736,504,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0001,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.497,0.424,0.096,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.95,0.464,0.979,0.818,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.12,0.451,0.838,0.611,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.452,0.676,0.420,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.584,1.081,0.875,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.513,1.005,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.774,508,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0001,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.504,0.423,0.096,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.817,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.12,0.453,0.839,0.611,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.452,0.675,0.420,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.586,1.081,0.875,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.513,1.007,0.836,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.798,512,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0001,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.510,0.423,0.095,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.12,0.453,0.839,0.612,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.451,0.675,0.420,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.586,1.082,0.875,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.512,1.006,0.836,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.831,516,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.514,0.422,0.094,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.12,0.453,0.839,0.612,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.450,0.674,0.420,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.587,1.082,0.876,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.512,1.006,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.854,520,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.519,0.422,0.093,STANCE,0.0089,-0.1720,1.7650,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.13,0.453,0.840,0.612,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.449,0.674,0.419,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.588,1.082,0.876,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.511,1.005,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.894,524,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.524,0.421,0.093,STANCE,0.0089,-0.1720,1.7650,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.13,0.453,0.840,0.612,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.447,0.673,0.419,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.588,1.083,0.877,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.511,1.005,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.918,528,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0002,0.0001,-0.0003,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.527,0.421,0.093,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.817,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.13,0.453,0.840,0.613,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.446,0.673,0.419,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.589,1.083,0.877,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.511,1.005,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.953,532,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0001,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.497,0.424,0.096,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.979,0.818,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.12,0.451,0.838,0.611,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.452,0.676,0.420,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.584,1.081,0.875,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.513,1.005,0.835,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
3.977,536,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0001,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.504,0.423,0.096,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.817,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.12,0.453,0.839,0.611,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.453,0.675,0.420,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.586,1.081,0.875,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.513,1.006,0.836,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
4.010,540,tripod,0.0003,0.0033,0.1344,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0001,0.000,0.000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.1200,0,0.2997,-0.1845,0.0144,1,2.26,0.510,0.423,0.095,STANCE,0.0089,-0.1720,1.7649,0.2994,-0.1878,-0.1200,0.2976,0.1946,0.0144,1,1.94,0.464,0.978,0.816,STANCE,0.0089,-0.1721,1.7653,0.2973,0.1913,-0.1200,0.0023,-0.3408,0.0144,1,2.12,0.453,0.839,0.612,STANCE,0.0087,-0.1719,1.7652,0.0020,-0.3440,-0.1200,-0.0017,0.3473,0.0144,1,2.06,0.451,0.675,0.420,STANCE,0.0086,-0.1720,1.7652,-0.0020,0.3441,-0.1200,-0.2970,-0.1880,0.0143,1,2.25,0.586,1.082,0.875,STANCE,0.0089,-0.1719,1.7656,-0.2973,-0.1912,-0.1200,-0.2992,0.1912,0.0144,1,2.01,0.512,1.006,0.836,STANCE,0.0087,-0.1720,1.7639,-0.2995,0.1879,-0.1200
